Date,USD/MXN
2013-09-30,13.1427
2013-08-31,13.3442
2013-07-31,12.7583
2013-06-30,12.9409
2013-05-31,12.6997
2013-04-30,12.1372
2013-03-31,12.3174
2013-02-28,12.8355
2013-01-31,12.7206
2012-12-31,13.0139
2012-11-30,12.9607
2012-10-31,13.073
2012-09-30,12.8695
2012-08-31,13.3478
2012-07-31,13.2584
2012-06-30,13.4766
2012-05-31,13.9867
2012-04-30,12.9688
2012-03-31,12.7891
2012-02-29,12.8627
2012-01-31,12.9746
2011-12-31,13.9875
2011-11-30,13.9844
2011-10-31,13.0048
2011-09-30,13.5338
2011-08-31,12.4742
2011-07-31,11.7329
2011-06-30,11.7939
2011-05-31,11.609
2011-04-30,11.5399
2011-03-31,11.9368
2011-02-28,12.1222
2011-01-31,12.2037
2010-12-31,12.3775
2010-11-30,12.494
2010-10-31,12.3442
2010-09-30,12.4845
2010-08-31,13.0649
2010-07-31,12.6967
2010-06-30,12.8313
2010-05-31,12.9626
2010-04-30,12.2748
2010-03-31,12.4117
2010-02-28,12.7733
2010-01-31,13.0954
2009-12-31,13.0277
2009-11-30,12.9415
2009-10-31,13.0827
2009-09-30,13.5465
2009-08-31,13.2477
2009-07-31,13.2432
2009-06-30,13.2163
2009-05-31,13.1515
2009-04-30,13.7531
2009-03-31,14.4162
2009-02-28,15.0344
2009-01-31,14.2665
2008-12-31,13.7117
2008-11-30,13.463
2008-10-31,12.8221
2008-09-30,10.8551
2008-08-31,10.2894
2008-07-31,10.045
2008-06-30,10.291
2008-05-31,10.3288
2008-04-30,10.4929
2008-03-31,10.6945
2008-02-29,10.6932
2008-01-31,10.8451
2007-12-31,10.9035
2007-11-30,10.9314
2007-10-31,10.7175
2007-09-30,10.9355
2007-08-31,11.0829
2007-07-31,10.9833
2007-06-30,10.7993
2007-05-31,10.8162
2007-04-30,10.9218
2007-03-31,11.021
2007-02-28,11.1045
2007-01-31,11.0813
2006-12-31,10.8003
2006-11-30,11.0217
2006-10-31,10.7531
2006-09-30,11.0029
2006-08-31,10.8722
2006-07-31,10.858
2006-06-30,11.4027
2006-05-31,11.2171
2006-04-30,11.0602
2006-03-31,10.9392
2006-02-28,10.4776
2006-01-31,10.4428
2005-12-31,10.763
2005-11-30,10.5994
2005-10-31,10.8275
2005-09-30,10.798
2005-08-31,10.8235
2005-07-31,10.601
2005-06-30,10.7385
2005-05-31,10.87
2005-04-30,11.06
2005-03-31,11.2195
2005-02-28,11.08
2005-01-31,11.238
2004-12-31,11.1735
2004-11-30,11.2625
2004-10-31,11.5655
2004-09-30,11.4165
2004-08-31,11.4065
2004-07-31,11.4135
2004-06-30,11.5085
2004-05-31,11.4215
2004-04-30,11.4245
2004-03-31,11.193
2004-02-29,11.0575
2004-01-31,11.1255
2003-12-31,11.229
2003-11-30,11.3875
2003-10-31,11.058
2003-09-30,10.975
2003-08-31,11.068
2003-07-31,10.4835
2003-06-30,10.408
2003-05-31,10.312
2003-04-30,10.2865
2003-03-31,10.655
2003-02-28,11.0285
2003-01-31,10.9415
2002-12-31,10.4535
